 SL NO.,Comment,Emotion
1094,সবাইকে একই রুমে তালাবদ্ধ করার জোর দাবী জানাচ্ছি,Positive
1095,এদিকে সারাদিন নাওয়া খাওয়া বন্ধ করে পুলিশ দেখার জন্য বাহিরে টই টই করে ঘুরে বেড়ানো আমি,Positive
1096,"পকেটে এক পাতা নাপা, এক পাতা সস্তা গ্যাসের ট্যাবলেট, আর এক পাতা হিস্টাসিন কিনে রেখে বের হলেই ত হত. ...ধরা মাত্র বলবে যে ফার্মেসীতে গেছিলাম ওষুধ নিতে...বোকারা বাহিরে বের হবি কৌশল জানতে হবে ত এখন",Positive
1097,লকডাউন কেমন চলে দেখতে গিয়ে যারা আটক হয়েছে তাদেরকে কিভাবে আটক করা হচ্ছে সেটা দেখতে গিয়ে যদি আরো কয়েকশো লোক আটক হয় তাহলেও অবাক হবো না । সবই সম্ভব ।,Positive
1098,লকডাউনকঠোর লকডাউনসর্বোত্বক লকডাউন সাট ডাউন কোন ডাউনে কাজ হবে না কারন বিয়ের আসল আনন্দ বাসর রাতেই থাকে সেটা পরে আর পাওয়া যায় না।,Positive
1099,"আইন হলো মাকড়সার জালের মতো বড় বড় পোকা গুলো ছিড়ে বেড়িয়ে আসে, আর ছোট পোকা গুলো আটকে যায়",Positive
1100,তোর ১৪ঘুষটির ভিতরে কেহ কোরোনায় মারা গেছে কি,Positive
1101,আজীবন বন্ধ করে দেন আপনার তো কথাই ঠিক নাইআপনার থেকে নাহিদ কাক্বু ভালো ছিলো খালা।,Positive
1102,এই অবস্থা ইস্কুল খোলার দরকার নাই আপু আপনার সিদ্ধান্ত অনেক ভরো ভালো থাকেন দোয়া করি,Positive
1103,তাহলে শিক্ষা মন্ত্রীকে একবছরের জন্য ছুটি দিয়ে দিন৷আর সরকারি চাকুরির বয়স সিমা ৩৫বছর করা হোক,Positive
1104,কাজী কে মেয়ে দেখতে বলছি সমস্যা নাই,Positive
1105,বেয়াদবি বাদ দেন।,Positive
1106,"মাননীয় শিক্ষামন্ত্রী আপনার সাথে সহমত পোষণ করছি,,,কারণ যেখানে কর্মস্থান সংকট সেখানে এইরুপ বাক্য উচ্চারণ করাই সবথেকে ভাল,,,",Positive
1107,"আর পেছনের দুইটা কি চেহারা দেখানোর জন্য দাড়িয়ে ছিল,,,এর আগে কখনো ক্যামেরার সামনে আসেনি মনে হয়,,,,",Positive
1108,"শিক্ষা মন্ত্রীর কি খুব দরকার কোন কাজ ই তো নাই, পদত্যাগ করেন আজাইরা বসে বসে ভাতা নিচ্ছেন।",Positive
1109,"মন্ত্রী এমপি দের কো নিজেস্বতা নাই কারন এরা পা চাটা গোলাম উপরে যাই বসে আছে সে যদি বলে এখন মুততে হবে মুত না আসলেও মুতবে যেমন ষাড়ের দুধ দেওয়ার মত, এরা সব বুঝে সব জানে তবুও ঢাকা শহরে যে ভাবে গাড়ি চলে সে তুলনায় স্কুল কলেজে আরো ফাকা অবস্থা এরা এর কাছে খারাপ হ মতে চায় না আর এরা ক্ষমতায় সারাজীবন থাকতে চায় এটাই মেইন উদ্দেশ্য",Positive
1110,"যানবাহন চলে,অফিস আদালত খোলা,দৈনন্দিন জীবনের সব কার্যক্রম দিদ্যামান।তাহলে স্কুল মাদ্রাসা কি সমস্যা।",Positive
1111,আপনার সব কথা ঠিকই আছে কিন্তু বেতন টা হাফ করে দিলে কি হতো আপনার। অনেক গরীব লোক আছে দিন আনে দিনে খাবার খায় বন্ধের ভিতরেও টিচারেরা ফুল বেতন নিতে আছে।,Positive
1112,সর্বাত্মক প্রস্তুতি ছিলোকিন্তু সেই প্রস্তুতিটা কি সেটা ক্লিয়ার করে বলেনআর সর্বাত্মক প্রস্তুতি নিলে স্বাস্থ্য বিধি মেনে অনায়াসে নিয়মের মধ্যে স্কুল কলেজ বিশ্ববিদ্যালয় খুলে দেয়া সম্ভব,Positive
1113,"পুরান কথা আর ভালোলাগে না ,,",Positive
1114,বিশাল দুরত্ব বজায় রেখে কথা বলছেন।,Positive
1115,যে দেশে শিক্ষা প্রতিষ্ঠান বন্ধ। নাইট ক্লাব খোলা। সে দেশে মানুষ গুলো শিক্ষিত না হয়ে যৌন ব্যবসায়ি তো হবে।।,Positive
1116,"চোপা দিয়ে বলেন যে এক বছর পরীক্ষা না দিলে কিছু হবে না, আবার চাকরি ক্ষেত্রে ঠিকই রেপুটেটেড ইউনিভার্সিটি থেকে গ্রাজুয়েট + ৩ বছরের অভিজ্ঞতা চেয়ে বসেন, তখন এই কথাগুলা মনে থাকেনা?? আপনাদের কথা বলতে তো ট্যাক্স লাগেনা, কোন সেন্স লাগেনা, তাই মুখের সামনে ১৪ টা লাইট ক্যামেরা মাইক পাইলে যা পান বলে দেন, অদূর ভবিষ্যতে যে কতটা সাফার করতে হবে তা কেবল ইউনিভার্সিটি তে যারা পড়তেছে তারাই জানে। পাবলিক ইউনিভার্সিটি দের দেড় বছর বসায় রাখতেছেন, না দিচ্ছেন কোন প্রমোশন না দিচ্ছেন কোন কিছু। অথচ তারা বাংলাদেশের অন্যতম বিশ্ববিদ্যালয়গুলোতেই পড়তেছে। এই হচ্ছে আপনাদের সেন্স অফ হিউমার. আমার তো মনে হয় গাজার সাপ্লাই আপনারাই দেন সবাইকে, তাই তো এই অবস্থা। পড়াশোনা থেকে দেড় টা বছর ছাত্র ছাত্রী রা দূরে চলে গেছে, তারপর তাদের মস্তিষ্ক ই এখন কাজ করে না, অনেকে আবার ডিপ্রেশনে পড়ে সুইসাইড করতেছে। এরপরও বলবেন এক বছর পড়াশোনা না করলে কিছু হবে না?? ইন্টারভিউ বোর্ডে গেলে তো ঠিকই আগা থেকে মাথা পর্যন্ত ছেকে ছেকে নিয়ে চাকরি দিবেন।",Positive
1117,"নাইট ক্লাব খোলা থাকে বারোটার পর ও আর যতো সব ঝামেলা স্কুল, কলেজে",Positive
1118,নাহিদ কাকু কে যত যাই কিছু বলো তোমরা আপার মত এত নির্বোধ ছিল না হয়তো।,Positive
1119,"সপ্তায় তিনদিন করে অধে্ধক বাকি অধে্ধক তিনদিন , টেবিল এর দুই মাথায় দুইজন করে চালু রাখার জন্য অনুরোধ করছি,",Positive
1120,আপনার পাশে লোকজন যে ভাবে ভিড় করছে মনে হয় না বাংলাদেশে কোন ভাইরাস আছে নাইট ক্লাব রাজনৈতিক হাট বাজার সবইতো খোলা শুধু মাএ শিক্ষা প্রতিষ্ঠান নিয়ে এত নাটক কেন?,Positive
1121,বাচ্চাদের ঘরে কিভাবে রাখবেন.....যেখানে ঘরে থাকে না....এগুলা বাদ দিয়ে গুলা খোলার ব্যবস্থা করেন....,Positive
1122,"চাকরির জন্য না হোক, বিবাহ করার জন্য হলেও ম্যাম আমার এই বছরে পড়াশুনা শেষ করা প্রয়োজন",Positive
1123,"এক বছর এই শিক্ষা মন্ত্রী না থাকলে কিছু হবে না, ,,,,তার পর ও স্কুল কলেজ খোলা চাই,,,,",Positive
1124,তাহলে অাপনি ১ বছর শিক্ষা মন্ত্রী থেকে অবসর নেনতাতে তেমন কোন ক্ষতি হবে না,Positive
1125,আমার প্রশ্ন হচ্ছে অনার্স ১ম ২য় ৩য় বর্ষের শিক্ষার্থীরা অটো পাশ পাচ্ছে আমাদের ৪র্থ বর্ষ এরা কি দোষ করলো? কিছু একটা ব্যবস্থা তো করবেন,Positive
1126,যাদের সন্তান করোনায় আক্রান্ত হয়েছে তাঁরা জানে এটা কতোটা কষ্টের।। মাননীয় শিক্ষামন্ত্রীকে আমি অসংখ্য ধন্যবাদ জানাই তাঁর সিদ্ধান্তে অটল থাকার জন্য। যদি জীবনটাই চলে যায় শিক্ষা দিয়ে কি হবে? আমরা অত্যান্ত জেদ করছি স্কুল কলেজ খোলা নিয়ে। কোনও মানে নেই এর। যার যার সন্তান তার তার কোল জুড়ে থাক।।,Positive
1127,"তুর কি পাইদা স্কুল কলেজ না খুলে দিয়ে, করোনা কি শুধু স্কুল আর কলেজে",Positive
1128,"সবকিছু চলে শুধু স্কুল চলে না আপনাদের সংবাদমাধ্যম ও বিভিন্ন কাজে একতা হয়ে সব করেন কই আপনারাতো দূরুত্ব বজায় রেখে চলেন না তাতে করোনা সংক্রমণ হয় না শুধু স্কুল কলেজ খুললে করোনা বাড়বে ২বছর যাবত কোনো পরীক্ষা হচ্ছে না তাতে কোনো ক্ষতি হচ্ছে না,,,",Positive
1129,এই মহিলা কথা বলার সময় নিজের ভংগি দিয়ে বুঝাতে চান তিনি অনেক জ্ঞানী অনেক কিছু করছেন।আসলে কোন বালই ফেলাতে পারেন না।ফালতু,Positive
1130,সবকিছু খুলে দেওয়া হয়েছে খালির শিক্ষাপ্রতিষ্ঠানগুলো বন্ধ কেন এটা আমরা জানতে চাই,Positive
1131,"সামনে মাস্ক পড়লে করোনা ধরে পিছনে থাকলে ধরে না,,তাই ওরা গলায় পড়ছে",Positive
1132,"আপামনি আপনার ছাত্রত্ব নেই ,পদে বসে অনেক উপদেশ দেওয়া যায়।",Positive
1133,এর প্রতিফল জাতি ভোগ করবে ১০ বছর পর।,Positive
1134,মুর্খ,Positive
1135,"এরপর বছর শেষে বউ গুলা আপনার পিছন দিয়ে ভই*রা দিতে হবে,তাইতো?",Positive
1136,১ বছরের কোন মূল্য নাই যেহেতু এক বছরের জন্য ক্ষমতা ছেড়ে দেন।আপনাদের একদিনের মূল্য আছে একজন ছাত্রের তা নয় কী!!!!,Positive
1137,এক বছর না দুই বছর পার হচ্ছে এখন ও পরীক্ষা দিতে পারি নাই।,Positive
1138,আপনার পুলাপান গুলা তো বাংলাদেশে নাই।এ জন্যই আপনার কোনো মাথা ব্যাথা নাই।,Positive
1139,আমাদের জাতীয় ভার্সিটি তে অটো পাস চাই মাননীয় শিক্ষামন্ত্রী ডাক্তার দীপু মনি আপা,Positive
1140,"আমাদের মাননীয় শিক্ষামন্ত্রীর দৃষ্টি আকর্ষণ করছিআপনাদের কিছু কথা জানানোর ছিল তাই এই পোস্টটি করাআমাদের এখন যে পরিস্থিতি যাচ্ছে এটা আমরা কেউ আশা করি না বা এটা আমরা কেউ ভাবতেও পারিনি এরকম পরিস্থিতিতে আমরা পড়বো।যাই হোক আমরা হয়তো এই মহামারী নামক একটি আতঙ্ক মধ্য দিয়ে হয়তো ভালোই যাচ্ছি।আমরা যারা প্রাইভেট শিক্ষা প্রতিষ্ঠানে পড়াশোনা করছি তাদের ক্লাস হোক বা না হোক, পরীক্ষা হোক বা না হোক প্রতি মাসের বেতন এক্সাম ফি আরো যত যত ফি আছে সব দেয়া লাগছে। আমাদের সপ্তাহে তিন দিন ক্লাস নেওয়া হয়। তারমধ্যে প্রতিদিন আগে হত আধাঘন্টা একটি ক্লাস আর এই দুই তিন মাস হল যে দুইটা করে ক্লাস নিচ্ছে। হিসাব করলে গড়ে দেখা যাবে প্রতিমাসে আমাদের ক্লাস নেয়া হচ্ছে অনলাইনে 12 ঘন্টা। আমরা অন্য সময় প্রতিদিন ক্লাস করতাম 6 থেকে 7 ঘন্টার মত তাহলে হিসাব করে দেখা যায় প্রতিমাসে আমাদের ক্লাস হচ্ছে দুই দিন। প্রতিমাসে আমাদের বেতন দেওয়া লাগছে 2000 টাকা কারো বা কম বেশি আর অনলাইনে এক্সাম ফি দেয়া লাগছে 300 টাকা।কথাটা হচ্ছে এই করোনা পরিস্থিতিতে আমাদের সবারই বলতে গেলে আর্থিক সমস্যা হচ্ছে। তারমধ্যে আমাদের প্রাইভেট শিক্ষা প্রতিষ্ঠান নিয়ম হচ্ছে পিছনের বকেয়া বেতন গুলো ও এই এক্সাম ফি না দিলে পরীক্ষা দিয়া যাবে না এবং এই পরীক্ষা না দিলে আমাদের ইয়ার চেঞ্জ হবে না। বিগত 15 মাস ধরে আমাদের শিক্ষা প্রতিষ্ঠান বন্ধ জানিনা আরো 15 মাস বন্ধ থাকবে কিনা। কিন্তু এইভাবে আমরা আর কতদিন দিয়ে যাবো এইভাবে তো কারো জীবন চলেনা। জীবন কেন এভাবে তো কোন শিক্ষা চলে না, এইটা কি মূল শিক্ষা? আমরা কি শিক্ষা পাচ্ছি? কোনরকম এটেন্ড করে মাসে 12 ঘণ্টা ক্লাস করে 2000 টাকা বেতন দিয়ে লাগছে। এভাবে কতদিন পারব আমরা। কবে আমাদের ক্লাস চেঞ্জ হবে। ক্লাসে যাব ক্লাস করবো। এটা যদি আজীবন যদি এই রকম থাকে। তাহলে কি আমাদের আজীবন এইভাবে টাকা দিয়ে যাওয়া লাগবে।আমরাতো মধ্যবিত্তদের সন্তান আমাদের টাকার সম্পদ নেই যে ওইগুলো বিক্রি করে তাদের দিয়ে যাব। হ্যাঁ তাদের প্রাইভেট প্রতিষ্ঠান, আমাদের বেতন দিয়েই তাদের প্রতিষ্ঠানের চলে। হ্যাঁ আমরা ভালোবাসি আমাদের প্রতিষ্ঠানকে কারন আমরা এই প্রতিষ্ঠানের কারনে ভালো একটি শিক্ষা পাব। আমরা চাই আমাদের প্রতিষ্ঠান সমাজে ভাল পজিশনে থাকুক। তাই বলে প্রতিমাসে এইভাবে কোনরকম ক্লাস করাবে আর মাসে মাসে টাকা দিয়ে যাবো বেতন দিয়ে যাব। আবার এই বেতন গুলো না দিলে বই পাব না পরীক্ষা দিতে পারবো না, অন্যান্য কোন কিছু পাবোনা ক্লাস করতে পারবোনা, আরো অনেক অনেক নিয়ম।আমরা যারা প্রাইভেট প্রতিষ্ঠানে পড়াশোনা করি তারা সবাই ধনী পরিবারের সন্তান না, অনেকে অনেক শ্রেণীর মানুষ আছে, অনেক জায়গা থেকে আসে, তাদের বাবা অনেক ছোটখাটো পেশায় জড়িত। স্বাভাবিক অবস্থানে থাকার সময় পড়াশোনা করানো সংসার চালানো তাদের উপর একটা বোঝা হয়ে যাচ্ছিল। তারপর এই করোনাকালীন আরো অনেক বেশি বোঝা গায়ের উপর এসে পড়েছে। অনেকে হয়তো সুইসাইড করছে, অনেকে পড়াশোনা ছেড়ে দিচ্ছে অনেকে অনেক দিকে চলে যাচ্ছে। তাই বলে আমরা কি আমাদের স্বপ্নপূরণ করতে পারবোনা এইটাই কি শিক্ষা? আমরা কোন শিক্ষার দিকে যাচ্ছি? আমাদের শিক্ষা কি এটাই শিখায় যেতে তোমরা স্বপ্ন দেখতে পারবা না তোমাদের স্বপ্ন পূরণ হবে না। কি হবে শিক্ষা দিয়ে?",Positive
1141,স্কুল-কলেজ না খুলে যত উদ্যোগ নেওয়ার নেন.... আমরা আপনার সাথে আছি,Positive
1142,না খোলবেন ভালো কথা অনলাইন সকল গেম গুলো বন্ধ করে দিন বাচ্চা গুলো সব পিতা মাতার অবাধ্য হয়ে যাচ্ছে,Positive
1143,"হ আজাইরা কথা বইলা,,,,আমাদের টাকাগুলো নষ্ট করবেন শুধু",Positive
1144,"হই আপনাদের চেষ্টা মুল্লার দোকান পযন্ত, স্কুল কলেজ পযন্ত যেতে পারলো না",Positive
1145,যুবসমাজ আজ ধংসের মুখে লেখাপড়া ছেড়ে দিয়ে তারা আজ নাশকতা শুরু করেছে তাই অতি শীঘ্রই স্কুল খুলে দিয়ে তাদের লাইন এ আনার ব্যবস্থা করুন,Positive
1146,ধাক্কা- ধাক্কী কইরেন না আস্তে আস্তে কমেন্ট করবেন.!আগের- বার আমার জুতা ছিঁড়ে গেছিলো.!,Positive
1147,আরো ৬ টা মাস্ক এক সাথে এক টার উপর আর এক টা পরেন দীপু খালা। তাতে করোনা না থাকলেও অন্তত কেমেরার সামনে করোনা করোনা লাগবে। আর ছুটি বাড়াতে ভাল লাগবে।,Positive
1148,"শিক্ষা জাতির লকডাউন। ( শিক্ষা জাতির মেরুদণ্ড বাদ হয়ে গেছে) লকডাউনের বালাই নেই। কিন্তু বাসের ভিতরে গাদা গাদি করে বসা ও দাড়িয়ে থেকে ৬০% ভাড়া বেশি দিয়ে এবং স্কুল কলেজ বন্ধ থাকার নাম-ই লকডাউন, কঠোর লকডাউন ও বিশেষ লকডাউন। বা গরীব, কঠোর গরীব ও বিশেষ গরীব এবং শিক্ষা জাতির লকডাউন চলছে চলবে। যেখানে করোনা শুধু চিকিৎসা সেবা ও মাক্স পড়ার উপর কঠোর নজরদারি দেয়ার কথা ও মানুষ যাতে ভালো ভাবে চিকিৎসা সেবা পায়। কিন্তু সেটা না করে চিকিৎসা সেবা হচ্ছে ডাকাতি। আর দেয়া হয়েছে স্কুল কলেজ বন্ধ ও মধ্যবিও, গরীবের জীবিকা বন্ধ আর ৬০% ভাড়া বাড়িয়ে শেষ করে দেওয়া। কঠোর নজরদারি দেয়ার কথা চিকিৎসা সেবা কিন্তু সেটা না করে কঠোর নজরদারি দেয়া হয়েছে স্কুল কলেজে। সাবাস বাংলাদেশ। আমার সোনার বাংলা আমি তোমায় ভালো বাসি।",Positive
1149,(আয় লাপ বিউ) দিপু বুনি.,Positive
1150,মাননীয় শিক্ষামন্ত্রী ওতো ওজুহাত না দেখিয়ে লেখা পড়া বন্ধ করে দেন।,Positive
1151,"যে দেশে নাইটক্লাব খোলা রেখে শিক্ষা প্রতিষ্ঠান, বন্ধ রাখে সে দেশে জ্ঞানচর্চা না হয়ে যৌন চর্চা হওয়াটাই স্বাভাবিক",Positive
1152,এসব জঘন্য রাজনীতি বন্ধ করেন । দেশটাকে জ্ঞানশূন্য করার ষড়যন্ত্র বন্ধ করেন,Positive
1153,শিক্ষাপ্রতিষ্ঠান বন্ধ রাখেন পোলাপানের পড়ার ক্ষতি হইতেছে সবকিছু শিক্ষাপ্রতিষ্ঠান বন্ধ,Positive
1154,"শিক্ষক সমাজ কি আর বলবে!! উনারা তো এখন রাজনীতিতে ব্যাস্ত সময় কাটাচ্ছেন। মাস শেষে একাউন্টে এসে বেতন ঢুকছে। একবার শুধু বেতন বন্ধ বা এক মাসের বেতন অর্ধেক দিন, দেখবেন উনারাই স্কুল খুলে দেওয়ার জন্য আন্দোলন করবেন।",Positive
1155,"তারা (সরকার) বসে বসে ডুগডুগি বাজায়! আমরা তো উন্নয়নের মহাসড়কেই উঠে গেছি। উন্নয়ন মানেই কি মগবাজার ফ্লাইওভার? পত্রিকায় পড়েছি সব শিক্ষাপ্রতিষ্ঠানের সঙ্গে কিন্ডারগার্টেনও বন্ধ, কিন্ডারগার্টেন মানে একটি বিশেষ মানের শিক্ষাপ্রতিষ্ঠান। এর একজন প্রিন্সিপাল নিজের শিক্ষাপ্রতিষ্ঠানের চেয়ারটেবিল বিক্রি করে ভাড়া পরিশোধ করেছেন, এরপর গ্রামে গেছেন। গ্রামের বাজারে চা বিক্রি করছেন। লজ্জা করে না এই শিক্ষামন্ত্রীর? লজ্জা করে না এই প্রধানমন্ত্রীর?’ এ ধরনের ঘটনা এমন কী ভ্যানগাড়ি চালায়, রিকশা চালায়, শিক্ষিত মানুষ যারা চাকরি হারিয়েছেন যাদের প্রতিষ্ঠান বন্ধ। গ্রাম-গ্রামান্তরে অনেক মানুষ এমন। বাংলাদেশে শিক্ষার চূড়ান্ত অপমান এ রকম করে হচ্ছে।",Positive
1156,ক্লাস ৮ আটো পাশ চাই,Positive
1157,পাগল কোথাকার,Positive
1158,২০২২ সালের এসএসসি পরীক্ষা বাতিল করে অটুপাস দেওয়া হোক!,Positive
1159,"মাননীয় মন্ত্রী আপনি অটোপাস এর স্টুডেন্ট ছিলেন নাকি. আপনার সার্টিফিকেট কি সব অটোপাস এর? আপনি তো পরীক্ষার গুরুত্বই বুঝেন না. মাননীয় শিক্ষামন্ত্রী জীবন গুরুত্বপূর্ণ ঠিক কথা কিন্তু শিক্ষা অর্জন করার কথা বলা হয়েছে কবর এ যাওয়ার পূর্ব মুহূর্ত পর্যুন্ত. অর্থাৎ জীবন ও শিক্ষা সমান গুরুত্বপূর্ণ. মূর্খতা জীবন জাতি, সমাজ, পরিবার তথা নিজের জন্য বোঝা. ইতিমধ্যে মানুষ ভাইরাসের সাথে নিজেকে খাপখাইয়ে চলতে শিখেছে. তাই শিক্ষাপ্রতিষ্ঠান খুললে আর তেমন কোনো সমস্যা হবেনা.",Positive
1160,আমাদের প্রিয় স্বাস্থ্যমন্ত্রী,Positive
1161,"বড় নেতা হওয়ার জন্য আমি রাজনীতিতে আসিনি। রাজনীতিতে এসেছি- বঙ্গবন্ধুর আদর্শ বাস্তবায়ন ও শেখ হাসিনার নেতৃত্বে গড়া এ জাতিকে সন্ত্রাসমুক্ত, মাদকমুক্ত, দুর্নীতিমুক্ত একটি সুন্দর দেশ ও সমাজ গড়ে তোলার লক্ষে, সাবেক সফল নৌ-পরিবহন মন্ত্রী ও মাননীয় ""সভাপতি"" মুক্তিযুদ্ধ বিষয়ক মন্ত্রণালয় সম্পর্কিত স্থায়ী কমিটি এবং বাংলাদেশ আওয়ামী লীগের প্রেসিডিয়াম সদস্য,বীর মুক্তিযোদ্ধা জনাব শাজাহান খান এম,পি এর হাতকে আরো বেশি শক্তিশালী করার জন্য।",Positive
1162,খারাপ মানুষ গুলার চিন্তা ভাবনা সব সময়ই খারাপ ই থাকেসেই ছাএী জীবন থেকে ই দীপু মনি হিটলার এর ন্যায় আচরণ করতেন লেডি হিটলার,Positive
1163,উনার মত আরও কয়েকটা মন্ত্রী দরকার,Positive
1164,২-৩ লাইন পরে বাকিটা করা আমি,Positive
1165,০ নং গেইট!,Positive
1166,আমাদের প্রিয় দীপু ভাবি'-''),Positive
1167,আমারো নাম নিয়ে অনেক পেরা খেতে হয়,Positive
1168,আপা ৫/৭শ বার বিদেশে কেন গেলেন বিস্তারিত লিখবেন আশা করি।,Positive
1169,"আপনার মতো মনোভাব থেকেও লাভ নাই এখনকার মানুষের। কিছু বললেই রাজাকার বানায় দেন,,,বাকিসব সবাই জানে।",Positive
1170,"প্রথম কথা হলো-৪/৫ বছর বয়সে ""পলিটিক্স "" নামক শব্দটার পরিবর্তে অন্যকিছু বলেছিলেন।সত্য সুন্দর,তবে এতোটা সুন্দর হয় না।তারপর আর পড়িনি।",Positive
1171,লক্ষ্য বড় থাকলে অবশ্যই লক্ষ্যে সফল হবে মানুষের স্বপ্ন ই মানুষকে এগিয়ে নিয়ে যা,Positive
1172,আহারে তখন সে আমার এক্স ছিলো!,Positive
1173,গণপ্রজাতন্ত্রী বাংলাদেশ সরকারের মন্ত্রিসভার অন্যতম একজন জ্ঞানী মন্ত্রী এন্ড এভারগ্রীন ইয়াং ।সেইসাথে হাসিটা এবং বাচনভঙ্গি,Positive
1174,পিক দেখেই রিয়েক্ট দিয়ে দেওয়া আমি,Positive
1175,"উফফ,,,,,দীপু আপার হাসিটা!!!!!",Positive
1176,তাতে আমার বাল ছেড়া গেলো। তার বাপের টাকা পইসা থাকলে আর কানেকশন থাকলে আমিও আজকে হইতে পারতাম।,Positive
1177,বাহ,Positive
1178,"আজব মানুষ এই পোস্টটেও হাহা দিচ্ছে,আজেবাজে কমেন্ট করছে",Positive
1179,ওনি শিক্ষামন্ত্রী হয়ে সব অাপডেট করে শিক্ষা ব্যবস্হা একদম ধ্বংসের মুখে ঠেলে দিচ্ছেন। যেখানে গণহারে অটোপাস দিয়ে অাবার সেই রেজাল্ট দিয়ে যোগ্যতা যাচাই করা হয় ফ্যাক্ট গুচ্ছ এক্সাম,Positive
1180,",,,,উনার একটা বিশ্লেষণ পছন্দ হয় নাই, উনাকে যে বলা হলো, তোমার বাবা মায়ের নাম মুসলিম তোমার নাম কেনো হিন্দু নাম।এটা দ্ধারা তিনি সংখ্যালঘুকে টেনে আনার মানে কি????আরেকটা হলো, উনি বললেন , আওয়ামীলীগের সম্পর্কে আগে জেনে , তারপর রাজনীতি করতে, যদি কেউ আওয়ামীলীগেরর মূল আদর্শকে বুঝে, রাজনীতি করতে চায় , তাহলে তাকে সর্বপ্রথম আওয়ামীলীগের বিরোদ্ধে আন্দোলন করতে হবে।",Positive
1181,এতো দিন পর আপার নাম নিয়ে আমার দোয়াসা কেটে গেল।,Positive
1182,সবই বুঝলাম কিন্তু আপনার বাবা নেতা না থাকলে আপনি সেই সময় পদও পেতেন না । আবার এখন এই পর্যায়েও আসতে পারতেন না । পরিবারতন্ত্র থেকে বের হতে আমরা কখনোই পারব না।,Positive
1183,পোস্ট পড়ার সময় নাই।কিন্তু মোরাল এই টাই-যাকেই শিক্ষা মন্ত্রী বানানো হয় সেই গোবর গণেশ হয়ে যায়,Positive
1184,"আমার মতে, রাজনীতিতে জনপ্রতিনিধিদের ও নিন্মতম পলিটিক্যাল পড়াশুনার ব্যকগ্রাউন্ড থাকা জরুরী। তাহলে হয়তো-বা দেশে এ-তো অরাজকতা চলতো না! আজকাল ব্যবসায়ীরা, সেনারা, সহ বিভিন্ন পেশাজীবিরা রাজনীতিতে থাকায় প্রত্যেকটা ডিপার্টমেন্ট ই দূর্নীতিতে ভরে গেছে!",Positive
1185,"রাজনৈতিক পরিবেশ,সাংস্কৃতিক পরিবেশ শব্দগুলো শুনে বুকে কেমন একটা শূন্যতা তৈরী হয়!",Positive
1186,আপনার বিয়ের ব্যাপারে তো কিছু বললেন না,Positive
1187,এমন এক শিক্ষামন্ত্রি আছে বলেই আজ শিক্ষার্থীরা বাঁশ খেতে পারতেছে একদিকে অটোপাশ আরেক দিকে গুচ্ছ পদ্ধতিতে প্রাথমিক বাছায়!!,Positive
1188,"ভাইভা বোর্ডে সংখ্যালঘুদের কম নম্বর দেয়া হয়না । বরং বেশি দেওয়া হয়। আপনাকে কম দেওয়া হয়েছে সম্ভবত আপনার পাকনামির জন্য। ""দিপু মনি"" হিন্দু নাম না বাংলা নাম। উত্তর টা এভাবে না দিয়ে অন্য ভাবেও দেওয়া যেতো।",Positive
1189,"আজ নাহিদ কাকু বেচেঁ থাকলে এসব হতে দিতনা গত বছরে স্কুল , কলেজ,বিশ্ববিদ্যালয় যাওয়ার সুযোগ করে দিত",Positive
1190,আহারে এদের রাজনীতি একপেশে!,Positive
1191,হলে সবাই মিলে ছাত্রলীগের মিছিল সে এক অন্য রকম উদ্দীপনা।।,Positive
1192,প্রথম দুইতিন লাইন পড়েই বুঝলাম স্টোরিটা অতিরঞ্জিত।। । আর রাজনীতিকে আপনারা ই যে পলিটিক্স করে তুলছেন সেটা কয়েক বছরে ই বুঝলাম।।,Positive
1193,এসব মোটিভেশন মার্কা কথা আপনার মুখে মানায় না। কারন এই মোটিভেশন প্রয়োগ করার পরিবেশটাই আপনারা নষ্ট করে ফেলেছেন। এই নষ্ট রাজনীতি ঘৃণা করি। এইসব নাম কা ওয়াস্তে মোটিভেশন তখন দিবেন যখন আরেকজন ডাক্তার চাইলেই একজন স্বচ্ছ রাজনীতিবিদ হওয়ার পরিবেশ ফিরে আসবে।,Positive
1194,নামের শেষে সরকার নিয়ে আমিও সমস্যায় পড়েছি অনেক তারপর আবার সৌরভ আমার এক ক্লাসমেট দুই বছর পর জেনেছে নাকি আমি মুসলিম এতোদিন হিন্দু জানত,Positive
1195,লাতিফুর রহমান কিরন,Positive
1196,"আচ্ছা, ঠিকাছে..",Positive
1197,অনেক চেষ্টা করেও বুঝতে পারলাম না দীপু আন্টির শাড়িতে কি লেখা আছে..,Positive
1198,আমাদের দাবিগুলো নিয়ে কাল রাজপথে নামছি আমরা সবাই যোগ দিন বেলা ১১ টায় সোহরাওয়ার্দী মেডিকেলের বিপরীতে।,Positive
1199,জনগণের ভোটাধিকার প্রয়োগ করার সুযোগ দিন। যেই দেশে রাতের আঁধারে ভোট হয়ে যায় সেই দেশে তরুণরা রাজনীতি থেকে সরে যাবে এটাই স্বাভাবিক।,Positive
1200,"হ্যাঁ, নাম নিয়ে আমিও ঝামেলায় আছি। সুযোগ পেলেই সবাই বচ্চন লাগিয়ে দেয় নামের পাশে। আর ""তোর ঐশ্বরিয়া কই"" জিজ্ঞেস করতে তো একটুও দ্বিধাবোধ করেনা",Positive
